23 September 2019 19:13:58 | Номер: Исключение | Текс: Class 'Routers' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 17
#################
23 September 2019 19:21:39 | Номер: 8 | Текс: Undefined variable: RouterAdd | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 18
#################
23 September 2019 19:21:40 | Номер: 8 | Текс: Undefined variable: RouterAdd | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\App.php | Линия: 18
#################
23 September 2019 19:22:10 | Номер: 2 | Текс: Illegal offset type | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 13
#################
23 September 2019 19:22:12 | Номер: 2 | Текс: Illegal offset type | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 13
#################
23 September 2019 19:22:37 | Номер: 2 | Текс: Illegal offset type | Файл: C:\OSPanel\domains\fw.loc\vendor\fw\core\Router.php | Линия: 13
#################
23 September 2019 20:00:24 | Номер: Исключение | Текс: syntax error, unexpected '}' | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 23
#################
23 September 2019 20:00:26 | Номер: Исключение | Текс: syntax error, unexpected '}' | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 23
#################
23 September 2019 20:00:52 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:00:53 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:01:39 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 12
#################
23 September 2019 20:01:39 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 12
#################
23 September 2019 20:01:40 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 12
#################
23 September 2019 20:03:05 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:06 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:06 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:06 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:19 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:20 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:20 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:21 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 13
#################
23 September 2019 20:03:59 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:00 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:20 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:21 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:21 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:55 | Номер: 8 | Текс: Undefined variable: app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:56 | Номер: 8 | Текс: Undefined variable: app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:56 | Номер: 8 | Текс: Undefined variable: app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:04:56 | Номер: 8 | Текс: Undefined variable: app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:05:17 | Номер: Исключение | Текс: Access to undeclared static property: app\controllers\AppController::$app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:05:18 | Номер: Исключение | Текс: Access to undeclared static property: app\controllers\AppController::$app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:05:19 | Номер: Исключение | Текс: Access to undeclared static property: app\controllers\AppController::$app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:05:19 | Номер: Исключение | Текс: Access to undeclared static property: app\controllers\AppController::$app | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:06:09 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 12
#################
23 September 2019 20:06:09 | Номер: Исключение | Текс: Class 'Router' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 12
#################
23 September 2019 20:07:24 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:09:09 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:09:09 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:09:09 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:09:10 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:11:24 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:11:25 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:11:44 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:11:45 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:11:45 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\public\index.php | Линия: 14
#################
23 September 2019 20:12:02 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:12:02 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:12:03 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:12:18 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:12:19 | Номер: Исключение | Текс: Class 'app\controllers\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\controllers\AppController.php | Линия: 18
#################
23 September 2019 20:18:24 | Номер: Исключение | Текс: Class 'app\widgets\currency\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\widgets\currency\Currency.php | Линия: 21
#################
23 September 2019 20:18:24 | Номер: Исключение | Текс: Class 'app\widgets\currency\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\widgets\currency\Currency.php | Линия: 21
#################
23 September 2019 20:19:19 | Номер: Исключение | Текс: Class 'app\widgets\currency\App' not found | Файл: C:\OSPanel\domains\fw.loc\app\widgets\currency\Currency.php | Линия: 21
#################
23 September 2019 20:20:39 | Номер: 4096 | Текс: Object of class app\widgets\currency\Currency could not be converted to string | Файл: C:\OSPanel\domains\fw.loc\app\views\layout\luxery_watchs.php | Линия: 34
#################
23 September 2019 20:21:24 | Номер: 4096 | Текс: Object of class app\widgets\currency\Currency could not be converted to string | Файл: C:\OSPanel\domains\fw.loc\app\views\layout\luxery_watchs.php | Линия: 34
#################
23 September 2019 20:21:40 | Номер: 4096 | Текс: Object of class app\widgets\currency\Currency could not be converted to string | Файл: C:\OSPanel\domains\fw.loc\app\views\layout\luxery_watchs.php | Линия: 34
#################
23 September 2019 20:26:38 | Номер: Исключение | Текс: Class 'App' not found | Файл: C:\OSPanel\domains\fw.loc\app\views\Main\index.php | Линия: 55
#################
